rwa,education,childhood,gender,hand,family_size,age,test_time
1.45,University degree,"Urban (town, city)",Male,Right,2,44,296
4.55,Less than high school,Suburban,Male,Right,3,15,240
1.1,High school,Suburban,Male,Right,2,18,99
6.85,University degree,"Urban (town, city)",Male,Right,5,23,168
2,High school,Rural (country side),Male,Right,2,20,159
2.45,High school,"Urban (town, city)",Male,Right,4,22,196
3.9,High school,Suburban,Male,Right,2,18,150
5.2,High school,"Urban (town, city)",Male,Right,2,18,1350
4.3,Less than high school,"Urban (town, city)",Female,Right,1,17,171
2.2,University degree,Rural (country side),Male,Right,2,21,153
1.35,Less than high school,"Urban (town, city)",Female,Right,2,17,127
3.85,High school,"Urban (town, city)",Female,Right,3,16,130
3.05,University degree,"Urban (town, city)",Female,Right,3,20,202
2.6,High school,Rural (country side),Female,Right,1,17,150
2.25,University degree,"Urban (town, city)",Female,Left,2,23,192
4.25,High school,Suburban,Female,Right,3,18,163
4.55,High school,"Urban (town, city)",Female,Right,2,19,1070
5.8,University degree,"Urban (town, city)",Male,Right,1,20,118
1.25,High school,Suburban,Female,Right,1,18,144
2.9,High school,"Urban (town, city)",Female,Right,6,17,142
2.9,Graduate degree,Suburban,Male,Right,2,54,142
1.15,University degree,"Urban (town, city)",Female,Right,2,30,171
5.3,High school,Rural (country side),Male,Right,7,45,134
1.9,High school,"Urban (town, city)",Female,Right,3,16,522
6.55,University degree,"Urban (town, city)",Male,Right,3,21,252
2.05,University degree,Suburban,Female,Right,2,53,138
3.6,High school,Suburban,Male,Right,5,59,347
3.5,High school,Rural (country side),Female,Right,3,17,232
3.25,High school,Rural (country side),Female,Right,4,16,309
3.45,High school,"Urban (town, city)",Female,Right,3,17,647
3,High school,Suburban,Female,Right,5,16,217
2.95,High school,Suburban,Female,Right,2,16,258
2.5,High school,Rural (country side),Female,Right,1,17,391
3.25,High school,"Urban (town, city)",Female,Right,2,17,654
3.8,High school,Suburban,Female,Right,2,17,612
2.25,University degree,Rural (country side),Female,Right,2,30,285
3.05,High school,"Urban (town, city)",Female,Right,3,16,605
3.8,High school,Rural (country side),Female,Right,2,16,278
3.85,High school,Suburban,Male,Left,2,16,306
2.55,High school,Rural (country side),Male,Right,3,17,504
5.85,High school,Suburban,Male,Right,1,17,248
1.6,University degree,Suburban,Male,Right,2,22,211
1.8,University degree,"Urban (town, city)",Other,Right,2,25,169
1.8,University degree,Rural (country side),Female,Right,3,47,218
4.5,High school,Rural (country side),Female,Left,2,20,133
4.6,Less than high school,Suburban,Female,Right,4,17,334
2.7,High school,"Urban (town, city)",Female,Right,1,19,126
1.85,High school,Suburban,Male,Right,3,18,133
5.55,University degree,Suburban,Male,Right,4,23,442
1.7,High school,Suburban,Male,Right,3,20,235
4.2,High school,Rural (country side),Male,Right,2,16,167
3.15,High school,"Urban (town, city)",Female,Right,3,17,227
6.75,High school,Suburban,Female,Right,2,20,313
6.35,University degree,Rural (country side),Male,Right,3,25,172
6.95,University degree,Rural (country side),Female,Right,2,30,378
6.15,Graduate degree,Suburban,Male,Right,1,22,214
3.45,High school,"Urban (town, city)",Female,Right,1,19,277
1.45,Graduate degree,"Urban (town, city)",Male,Right,3,37,143
1.45,Less than high school,"Urban (town, city)",Other,Right,8,60,185
1.35,High school,Suburban,Female,Right,2,20,99
1.5,Graduate degree,Suburban,Male,Right,1,38,159
1.2,High school,"Urban (town, city)",Female,Right,2,22,213
2.6,Less than high school,"Urban (town, city)",Female,Right,2,16,272
1,University degree,"Urban (town, city)",Male,Left,3,46,163
5.25,High school,"Urban (town, city)",Male,Right,2,19,204
3.7,High school,"Urban (town, city)",Female,Right,2,16,176
2.35,Less than high school,Suburban,Other,Right,3,17,175
2.3,Graduate degree,"Urban (town, city)",Male,Right,2,45,472
3,High school,Rural (country side),Female,Right,2,19,330
6.85,Less than high school,Suburban,Female,Right,4,14,779
3.35,University degree,Suburban,Male,Right,1,20,123
1.35,University degree,"Urban (town, city)",Female,Right,1,38,2315
2.85,High school,Rural (country side),Female,Left,6,19,640
1.1,High school,"Urban (town, city)",Male,Left,3,23,192
1.5,Graduate degree,"Urban (town, city)",Male,Both,3,27,380
1.55,Graduate degree,"Urban (town, city)",Female,Right,1,59,201
1.75,Graduate degree,Suburban,Male,Right,1,42,125
2.7,High school,Suburban,Male,Right,2,31,132
2.5,High school,Rural (country side),Male,Right,2,16,143
1.65,Less than high school,Suburban,Female,Right,3,14,190
2.35,University degree,Rural (country side),Female,Left,1,40,263
3.25,High school,Suburban,Female,Left,2,23,223
1.5,Less than high school,Suburban,Female,Left,3,15,140
6.5,University degree,Suburban,Male,Right,1,23,223
2.5,High school,Suburban,Female,Right,1,20,273
4.65,Graduate degree,"Urban (town, city)",Male,Right,2,31,198
2.9,University degree,Suburban,Female,Left,2,24,164
2.05,High school,Suburban,Male,Right,1,19,196
1.55,University degree,Suburban,Female,Right,3,20,216
3.35,High school,Suburban,Male,Left,1,16,176
4.15,High school,Suburban,Female,Right,2,16,292
2,High school,Rural (country side),Female,Right,4,16,317
2.5,High school,Rural (country side),Female,Right,3,16,342
3.25,High school,Rural (country side),Male,Right,2,16,399
3.7,High school,"Urban (town, city)",Male,Right,3,16,157
4,High school,Suburban,Female,Right,2,16,336
3.3,High school,Suburban,Female,Right,3,16,261
3.8,High school,Rural (country side),Female,Right,2,16,353
4.5,High school,Rural (country side),Male,Right,1,17,585
3.5,High school,Rural (country side),Male,Right,2,16,379
3.45,High school,Rural (country side),Female,Right,1,16,309
3.1,High school,Suburban,Female,Left,2,16,308
2.8,High school,Rural (country side),Female,Right,1,17,214
2.5,High school,Rural (country side),Male,Right,2,16,422
2.7,High school,Rural (country side),Male,Left,1,16,259
5.3,High school,Rural (country side),Male,Left,2,48,225
3.45,High school,Suburban,Female,Right,3,17,179
4.8,University degree,Suburban,Male,Right,1,20,208
1.95,High school,Suburban,Female,Right,3,20,137
3.1,Graduate degree,"Urban (town, city)",Male,Right,0,43,766
1.2,University degree,Suburban,Male,Right,3,35,203
3.7,University degree,Suburban,Male,Right,3,20,214
2,Less than high school,Suburban,Female,Both,4,28,189
1.4,Less than high school,Rural (country side),Female,Right,1,15,166
2.3,High school,Rural (country side),Female,Right,4,18,167
1.6,High school,Rural (country side),Female,Right,2,17,405
2.6,Less than high school,Suburban,Male,Right,1,15,125
1.55,High school,Suburban,Female,Right,1,17,177
1.9,University degree,"Urban (town, city)",Female,Right,4,51,105
2.25,University degree,Suburban,Male,Right,3,27,293
1.35,University degree,Suburban,Female,Right,3,24,168
2.15,Graduate degree,Suburban,Male,Right,2,31,198
2.55,Graduate degree,Rural (country side),Male,Right,2,38,207
1.1,High school,Rural (country side),Male,Right,2,19,178
2.4,University degree,Rural (country side),Male,Right,3,26,397
1.25,High school,Suburban,Male,Right,2,23,226
2.8,University degree,Suburban,Male,Right,3,20,140
5,Graduate degree,Rural (country side),Female,Right,8,47,238
2.2,University degree,Rural (country side),Female,Right,2,44,476
1.8,High school,"Urban (town, city)",Female,Right,2,16,98
1,High school,"Urban (town, city)",Male,Left,1,17,119
4.2,University degree,Suburban,Male,Right,2,49,394
7.6,High school,"Urban (town, city)",Male,Right,4,19,575
1.1,University degree,Suburban,Male,Right,3,57,134
1.45,University degree,"Urban (town, city)",Male,Right,2,29,100
6.7,High school,Rural (country side),Male,Right,2,18,175
4.3,High school,"Urban (town, city)",Male,Right,3,21,313
6.75,University degree,Rural (country side),Male,Right,3,22,131
6.35,High school,Suburban,Male,Right,2,22,459
6.1,Graduate degree,Suburban,Male,Right,1,30,259
4.15,Less than high school,Rural (country side),Male,Left,3,17,271
4.45,High school,Suburban,Female,Right,2,17,243
6.9,University degree,Suburban,Female,Right,3,36,300
1.4,High school,Rural (country side),Male,Left,3,20,169
1.15,High school,"Urban (town, city)",Male,Right,1,42,135
1.6,University degree,Suburban,Female,Right,2,29,127
1.75,Graduate degree,"Urban (town, city)",Male,Right,4,53,352
7.95,Graduate degree,"Urban (town, city)",Male,Right,2,50,180
4.85,High school,Rural (country side),Male,Right,4,18,291
5.05,High school,Rural (country side),Male,Right,3,15,500
2.15,High school,"Urban (town, city)",Male,Right,2,18,332
4.45,University degree,"Urban (town, city)",Female,Right,3,36,248
1.9,High school,Suburban,Female,Right,2,33,370
4,High school,Suburban,Male,Right,1,21,386
1.55,University degree,"Urban (town, city)",Male,Right,1,35,165
3.3,High school,Rural (country side),Female,Right,2,16,367
4.45,University degree,Suburban,Female,Right,2,50,184
2.2,Less than high school,"Urban (town, city)",Female,Right,2,15,239
5.35,University degree,"Urban (town, city)",Male,Right,2,31,364
3.2,High school,Suburban,Male,Left,1,29,243
1.65,High school,"Urban (town, city)",Female,Right,2,21,184
4.55,Less than high school,Rural (country side),Male,Right,2,16,327
2,High school,"Urban (town, city)",Male,Right,2,48,294
1.6,High school,Suburban,Male,Right,3,20,580
1.15,High school,"Urban (town, city)",Male,Right,4,39,162
5.4,High school,"Urban (town, city)",Female,Right,1,16,230
4.85,High school,Suburban,Female,Right,2,16,497
4.1,High school,Suburban,Male,Right,2,16,313
2.7,High school,Suburban,Female,Right,4,16,137
3.95,High school,"Urban (town, city)",Male,Left,2,15,173
3.55,High school,Suburban,Female,Right,2,16,598
3.05,High school,"Urban (town, city)",Female,Right,2,16,192
2.25,University degree,Suburban,Male,Right,2,25,1334
3.25,High school,Suburban,Female,Right,3,16,340
3.7,High school,Rural (country side),Male,Right,3,16,253
4.65,High school,Suburban,Female,Right,4,17,343
2.9,High school,Suburban,Male,Right,2,16,203
2.65,Graduate degree,Suburban,Male,Right,3,60,198
2.75,High school,Rural (country side),Female,Left,2,17,246
2.35,High school,Rural (country side),Male,Right,2,17,212
2.5,Graduate degree,Suburban,Female,Right,1,34,139
2.4,University degree,Rural (country side),Male,Right,2,21,161
6.8,High school,"Urban (town, city)",Male,Right,2,17,206
2.1,High school,"Urban (town, city)",Male,Left,2,53,206
1.05,Graduate degree,"Urban (town, city)",Male,Right,3,32,344
1.6,University degree,"Urban (town, city)",Female,Right,2,21,329
1.4,Graduate degree,Suburban,Female,Right,5,42,102
5,University degree,"Urban (town, city)",Male,Right,2,30,78
6.35,Graduate degree,Suburban,Female,Both,2,23,184
3.6,Less than high school,Suburban,Female,Right,2,16,299
1,High school,"Urban (town, city)",Male,Right,1,19,156
2.05,High school,"Urban (town, city)",Other,Right,2,16,98
2.45,Graduate degree,Suburban,Male,Right,2,44,249
1.4,High school,Suburban,Male,Right,2,17,202
4.3,Graduate degree,"Urban (town, city)",Male,Right,2,63,193
1.15,University degree,Suburban,Female,Right,2,21,106
1.2,Graduate degree,"Urban (town, city)",Male,Right,1,44,125
6.15,High school,Suburban,Male,Right,2,18,168
1.55,Graduate degree,Suburban,Male,Right,4,50,234
4.3,High school,"Urban (town, city)",Male,Right,4,16,273
4.75,University degree,Suburban,Male,Right,3,45,215
4.65,High school,Rural (country side),Male,Right,4,28,377
1.45,University degree,Rural (country side),Male,Right,4,31,285
8.05,University degree,Suburban,Male,Right,1,23,274
2.2,University degree,Rural (country side),Male,Right,2,21,184
3.9,High school,"Urban (town, city)",Female,Right,2,16,216
2.7,High school,"Urban (town, city)",Male,Right,1,17,266
3.35,High school,Suburban,Male,Right,3,16,223
5.35,High school,"Urban (town, city)",Female,Right,3,19,261
5.15,University degree,Rural (country side),Male,Right,4,20,1207
2.9,Graduate degree,"Urban (town, city)",Male,Right,3,59,220
1.6,High school,Suburban,Male,Left,2,21,237
3.75,High school,Suburban,Male,Right,2,13,100
1.9,University degree,Suburban,Female,Right,2,20,313
4.75,High school,Rural (country side),Female,Right,0,67,179
1.25,High school,"Urban (town, city)",Female,Right,1,19,115
1.15,University degree,Suburban,Male,Right,2,32,173
3.25,High school,"Urban (town, city)",Male,Right,3,20,248
2,High school,Suburban,Female,Right,3,19,208
2.6,Graduate degree,Suburban,Male,Right,6,60,258
2,University degree,Suburban,Female,Right,2,27,189
1,University degree,Suburban,Male,Right,2,40,144
1.45,Less than high school,"Urban (town, city)",Other,Both,2,17,146
3.2,High school,Suburban,Male,Left,2,16,274
1.6,Less than high school,Suburban,Female,Right,1,14,123
2.3,High school,"Urban (town, city)",Male,Right,2,66,311
1.95,University degree,Suburban,Female,Right,2,39,150
2.5,High school,Suburban,Male,Right,3,62,246
4.5,High school,"Urban (town, city)",Male,Right,3,17,240
2.9,High school,Suburban,Female,Right,2,17,268
1.55,University degree,Rural (country side),Male,Right,2,28,178
2.25,University degree,Suburban,Male,Left,4,18,157
1.25,High school,"Urban (town, city)",Other,Left,2,19,113
7.5,Graduate degree,"Urban (town, city)",Male,Right,3,24,2474
8.3,High school,Suburban,Male,Right,3,20,169
1.9,High school,Rural (country side),Female,Right,2,18,213
1.95,University degree,Suburban,Male,Left,1,30,154
2.8,High school,"Urban (town, city)",Female,Right,2,23,435
5.85,Less than high school,Suburban,Male,Right,3,27,206
6.8,University degree,Rural (country side),Male,Right,4,25,408
1.9,University degree,"Urban (town, city)",Male,Right,2,22,270
2.6,High school,Rural (country side),Male,Left,2,38,222
3.1,High school,"Urban (town, city)",Male,Right,4,25,240
2.2,High school,"Urban (town, city)",Female,Right,3,18,235
6.8,High school,Rural (country side),Other,Left,1,19,414
1,University degree,Suburban,Male,Right,2,26,101
2.05,University degree,Suburban,Male,Right,2,23,205
1,University degree,"Urban (town, city)",Male,Left,2,33,127
8.9,High school,Suburban,Male,Right,2,19,198
1.05,High school,Suburban,Male,Right,2,37,173
2.2,Less than high school,Suburban,Male,Right,2,17,314
3.45,Less than high school,"Urban (town, city)",Female,Right,2,14,173
4.7,University degree,Suburban,Male,Right,3,49,317
2.35,University degree,Rural (country side),Male,Right,4,59,329
1,University degree,Suburban,Male,Right,2,20,110
3.9,University degree,"Urban (town, city)",Female,Both,2,15,189
5.35,University degree,Suburban,Male,Right,3,58,285
1.95,University degree,"Urban (town, city)",Male,Right,4,30,310
2.7,Graduate degree,Suburban,Male,Right,2,30,175
3.05,High school,Suburban,Female,Right,1,20,191
5.85,High school,"Urban (town, city)",Male,Right,1,18,362
1.95,University degree,Suburban,Male,Right,2,37,167
2,University degree,"Urban (town, city)",Male,Right,2,23,239
5.45,Less than high school,Rural (country side),Female,Right,1,16,318
1.55,High school,"Urban (town, city)",Male,Right,1,22,120
1.35,University degree,Suburban,Female,Right,3,24,108
2.25,Graduate degree,Suburban,Male,Left,3,57,357
1.95,University degree,"Urban (town, city)",Male,Right,1,41,214
8.3,High school,Rural (country side),Male,Left,2,18,162
2.4,Less than high school,Suburban,Male,Right,1,24,275
7,University degree,Rural (country side),Male,Right,1,32,199
2.45,High school,Rural (country side),Female,Left,1,19,403
1.8,Less than high school,"Urban (town, city)",Other,Left,3,15,216
2.4,Less than high school,"Urban (town, city)",Other,Right,1,15,225
3.15,University degree,"Urban (town, city)",Female,Right,3,27,245
1.45,High school,Rural (country side),Male,Right,0,27,261
3.8,High school,Rural (country side),Female,Both,4,16,226
1.45,University degree,Rural (country side),Male,Both,2,51,143
1.2,University degree,Suburban,Female,Right,2,24,111
5.75,Less than high school,Suburban,Male,Right,3,15,1234
1.3,University degree,"Urban (town, city)",Male,Right,1,25,167
8.8,University degree,Suburban,Male,Left,3,20,160
4.95,High school,Suburban,Male,Left,2,38,278
3.25,Less than high school,Suburban,Female,Left,2,13,304
2.4,High school,Suburban,Male,Left,2,19,241
6.85,Graduate degree,"Urban (town, city)",Male,Right,3,24,326
2.2,High school,Suburban,Male,Right,3,28,468
3.55,High school,Rural (country side),Male,Right,2,51,290
3,Less than high school,"Urban (town, city)",Female,Right,1,17,335
4.45,High school,"Urban (town, city)",Male,Left,2,17,227
2,University degree,"Urban (town, city)",Male,Right,2,40,279
2.65,High school,"Urban (town, city)",Male,Right,1,22,165
2.9,High school,Rural (country side),Male,Right,2,15,140
3.35,University degree,Suburban,Male,Right,5,29,347
2.3,University degree,"Urban (town, city)",Female,Both,2,20,201
8.5,High school,Suburban,Male,Right,4,16,217
1,University degree,"Urban (town, city)",Female,Right,1,36,110
3.85,Less than high school,Suburban,Female,Left,4,15,212
3.05,High school,Suburban,Male,Right,2,20,244
5.95,High school,"Urban (town, city)",Male,Right,2,26,187
2,High school,Rural (country side),Female,Left,5,63,346
2,Less than high school,Rural (country side),Other,Right,0,15,443
1.1,Graduate degree,Suburban,Male,Right,3,29,226
1.45,Less than high school,Suburban,Male,Right,1,17,98
1.85,Less than high school,"Urban (town, city)",Male,Right,3,15,929
7.3,High school,"Urban (town, city)",Male,Both,6,17,539
1.6,High school,Suburban,Male,Right,2,22,131
2.65,Less than high school,Suburban,Male,Right,1,13,141
1.8,University degree,"Urban (town, city)",Female,Right,5,67,692
2.45,Less than high school,"Urban (town, city)",Female,Right,2,15,308
4,High school,Suburban,Male,Right,2,17,154
6.75,High school,Suburban,Male,Right,3,19,229
2.8,University degree,Suburban,Male,Right,2,34,435
2.55,Less than high school,Suburban,Male,Right,5,17,117
7.4,High school,"Urban (town, city)",Male,Right,2,18,284
3.15,University degree,Rural (country side),Male,Right,9,53,133
5.8,High school,Suburban,Male,Right,2,21,385
3.3,University degree,Suburban,Male,Right,4,59,188
1.25,University degree,Suburban,Male,Right,2,21,107
4.85,University degree,Rural (country side),Male,Right,2,21,184
5.05,High school,Rural (country side),Male,Right,6,39,1087
2.25,High school,Rural (country side),Female,Right,4,19,116
3.85,University degree,Suburban,Male,Right,3,24,164
3.3,Graduate degree,Suburban,Male,Right,3,37,147
1.45,High school,Suburban,Female,Right,2,20,104
1.9,Graduate degree,Rural (country side),Male,Left,2,29,278
1.2,High school,Rural (country side),Female,Right,2,19,80
1.9,High school,Suburban,Male,Right,2,44,168
3.8,High school,Rural (country side),Male,Right,1,38,273
7.7,University degree,"Urban (town, city)",Male,Right,3,26,130
3.3,Less than high school,Suburban,Male,Left,3,15,239
3.9,Less than high school,Rural (country side),Female,Right,2,17,198
2.7,Graduate degree,"Urban (town, city)",Female,Right,2,50,259
3.55,High school,Suburban,Male,Right,1,45,268
1.05,Less than high school,"Urban (town, city)",Female,Right,2,16,515
1.4,University degree,"Urban (town, city)",Female,Right,1,45,183
5.25,Less than high school,Suburban,Male,Right,2,17,134
1.7,Less than high school,"Urban (town, city)",Male,Left,3,15,197
1.35,High school,Suburban,Male,Right,2,21,80
1.9,High school,Suburban,Male,Right,4,19,190
5.35,Less than high school,Suburban,Male,Right,2,16,132
3.1,High school,"Urban (town, city)",Male,Right,7,20,573
3.65,High school,"Urban (town, city)",Male,Right,1,15,168
2.45,University degree,Suburban,Female,Right,2,49,123
7.2,University degree,Rural (country side),Male,Right,2,25,284
2.4,Less than high school,"Urban (town, city)",Female,Right,2,16,193
1.55,University degree,"Urban (town, city)",Female,Right,2,22,210
3.2,High school,"Urban (town, city)",Female,Right,3,16,681
2.15,High school,Suburban,Female,Left,0,22,248
3.65,University degree,Suburban,Female,Right,7,30,136
3.85,High school,Rural (country side),Female,Left,2,16,238
2.75,Less than high school,"Urban (town, city)",Male,Right,1,17,136
4,Graduate degree,Rural (country side),Male,Right,1,70,397
1.95,High school,"Urban (town, city)",Male,Right,3,19,122
2.35,High school,"Urban (town, city)",Male,Right,1,20,145
3.55,University degree,"Urban (town, city)",Male,Right,2,19,106
2.65,Less than high school,Suburban,Male,Right,3,16,830
2.75,High school,Suburban,Male,Right,1,19,357
1.4,University degree,Suburban,Male,Right,2,25,182
5.9,High school,"Urban (town, city)",Female,Right,2,15,255
2.15,Less than high school,Rural (country side),Female,Right,2,17,148
1.55,Less than high school,Suburban,Male,Left,3,16,598
1.5,Graduate degree,"Urban (town, city)",Female,Right,2,53,200
6.6,High school,Rural (country side),Male,Right,3,20,181
1.65,Graduate degree,Rural (country side),Male,Right,2,22,253
1.25,High school,Suburban,Male,Right,4,25,289
1.55,High school,Rural (country side),Male,Right,1,20,204
1.1,Less than high school,Suburban,Male,Right,1,13,92
1.65,Less than high school,Suburban,Male,Right,2,16,158
1.85,University degree,"Urban (town, city)",Female,Right,2,24,132
1.75,University degree,"Urban (town, city)",Female,Right,1,24,77
3.9,High school,Rural (country side),Female,Right,5,16,409
2.6,Graduate degree,Rural (country side),Male,Right,2,21,141
2.8,Graduate degree,Rural (country side),Male,Left,2,32,133
1.05,Less than high school,"Urban (town, city)",Male,Both,0,17,254
4.05,High school,Rural (country side),Male,Left,2,16,577
2.35,University degree,Suburban,Male,Right,3,29,270
1.25,Less than high school,Suburban,Female,Right,2,13,216
1.7,High school,Suburban,Female,Left,1,28,187
5,Graduate degree,"Urban (town, city)",Female,Right,3,30,195
1.65,Graduate degree,Suburban,Male,Left,1,30,200
3.55,High school,Suburban,Female,Right,2,29,378
5.85,High school,"Urban (town, city)",Male,Left,4,62,208
3.4,High school,Rural (country side),Female,Right,2,16,149
1,University degree,Suburban,Male,Right,2,25,195
4.95,Less than high school,Suburban,Male,Left,4,15,241
1.85,Graduate degree,Suburban,Male,Right,2,28,143
2.65,High school,Suburban,Male,Left,2,14,154
2.35,High school,Suburban,Female,Right,2,39,461
2.25,Less than high school,Suburban,Female,Right,2,17,752
1.1,University degree,Suburban,Male,Left,3,25,260
1.45,High school,Suburban,Male,Right,2,19,209
1.2,Less than high school,Suburban,Male,Right,2,17,286
4,High school,"Urban (town, city)",Female,Left,2,16,163
7.75,Less than high school,Rural (country side),Female,Right,2,15,170
1.4,Graduate degree,"Urban (town, city)",Male,Right,2,43,225
3.95,Less than high school,"Urban (town, city)",Male,Both,2,16,397
2.15,Less than high school,"Urban (town, city)",Male,Left,2,16,364
1.5,University degree,Suburban,Male,Right,2,31,176
2.45,High school,Suburban,Male,Right,2,21,343
2.85,High school,Suburban,Male,Right,1,20,237
2.5,High school,"Urban (town, city)",Male,Right,1,18,216
2.85,High school,"Urban (town, city)",Male,Right,2,17,220
1.6,Graduate degree,"Urban (town, city)",Other,Right,2,39,278
7.8,Graduate degree,Rural (country side),Male,Right,2,30,164
1.9,Graduate degree,"Urban (town, city)",Male,Right,1,64,214
2.25,Graduate degree,"Urban (town, city)",Male,Right,3,54,187
3.45,University degree,"Urban (town, city)",Female,Right,1,26,203
2.45,Graduate degree,Suburban,Male,Right,1,42,202
3.15,Graduate degree,Suburban,Male,Right,4,34,333
1,High school,Rural (country side),Male,Right,2,31,232
1.35,Less than high school,Rural (country side),Male,Right,3,15,155
3.05,University degree,"Urban (town, city)",Male,Right,2,19,156
3.2,High school,Suburban,Male,Right,2,55,193
3.3,High school,Rural (country side),Male,Right,2,17,735
2,Less than high school,Suburban,Male,Right,2,15,3136
8.7,High school,Suburban,Male,Right,2,18,2172
8.2,High school,Suburban,Male,Right,2,19,538
7.35,High school,Suburban,Male,Right,3,21,292
7.25,High school,Rural (country side),Male,Right,1,19,214
3.1,University degree,"Urban (town, city)",Male,Right,1,34,187
2.4,High school,Rural (country side),Female,Right,2,16,248
7.05,High school,Rural (country side),Male,Left,4,19,152
6.75,High school,Suburban,Male,Right,3,18,131
7.2,High school,Rural (country side),Male,Right,1,22,449
2.85,University degree,Suburban,Male,Right,2,16,188
5.25,High school,"Urban (town, city)",Male,Right,1,21,142
8.75,High school,Suburban,Male,Right,2,20,110
2.85,High school,"Urban (town, city)",Other,Right,3,17,187
5.4,High school,Suburban,Male,Right,2,19,446
5.7,Less than high school,Suburban,Male,Right,2,13,190
7.6,University degree,Rural (country side),Female,Left,2,22,246
7.5,High school,"Urban (town, city)",Male,Right,3,18,185
2,High school,Suburban,Male,Right,4,21,114
7.85,High school,Suburban,Male,Right,3,24,415
1.45,Graduate degree,Suburban,Male,Right,2,48,174
2.9,High school,"Urban (town, city)",Male,Right,2,24,299
7.4,Graduate degree,"Urban (town, city)",Male,Right,3,19,190
2.7,High school,"Urban (town, city)",Male,Right,4,23,166
5.65,High school,Suburban,Male,Right,3,25,405
6.25,High school,"Urban (town, city)",Male,Right,3,20,464
1.7,High school,Suburban,Male,Left,3,39,151
2.95,High school,Suburban,Male,Right,3,18,281
1.8,Graduate degree,Suburban,Female,Right,3,29,117
8.15,High school,Suburban,Male,Right,3,20,126
2.15,University degree,"Urban (town, city)",Female,Right,2,33,497
1.3,High school,Suburban,Female,Right,4,17,237
8.35,High school,"Urban (town, city)",Male,Right,2,17,146
1.55,Less than high school,Suburban,Female,Left,3,18,194
4,Less than high school,Suburban,Female,Right,1,14,187
1.45,Less than high school,Suburban,Other,Right,2,16,266
5.45,University degree,"Urban (town, city)",Male,Right,2,23,217
1.45,Graduate degree,Rural (country side),Female,Right,1,33,133
3.3,University degree,"Urban (town, city)",Male,Right,2,24,188
2.6,University degree,"Urban (town, city)",Male,Both,2,24,932
1.85,High school,Rural (country side),Male,Both,2,18,299
3.25,Graduate degree,Suburban,Female,Right,2,25,258
3.2,University degree,Rural (country side),Female,Left,1,25,206
3.2,High school,"Urban (town, city)",Female,Right,2,24,243
6.9,Less than high school,Suburban,Male,Right,3,17,211
1.4,University degree,Rural (country side),Male,Right,1,35,125
2,High school,"Urban (town, city)",Male,Right,2,23,369
6.45,High school,"Urban (town, city)",Male,Right,4,20,150
6.3,University degree,Rural (country side),Male,Right,2,53,160
2.9,Graduate degree,Rural (country side),Male,Right,2,34,176
3.25,Graduate degree,Rural (country side),Female,Right,3,55,383
1.05,Graduate degree,"Urban (town, city)",Male,Left,2,25,115
3.7,High school,Suburban,Male,Right,2,67,205
3.4,High school,Suburban,Male,Right,3,19,442
7.75,High school,"Urban (town, city)",Male,Right,2,17,243
7.8,Graduate degree,"Urban (town, city)",Male,Right,2,27,267
3.45,High school,"Urban (town, city)",Male,Right,3,68,464
4.8,High school,Rural (country side),Male,Right,3,20,322
5.45,High school,"Urban (town, city)",Male,Right,2,17,239
2.05,University degree,Suburban,Male,Right,2,21,185
1,High school,Rural (country side),Female,Right,2,19,170
7,High school,Rural (country side),Male,Right,2,17,347
1.5,Less than high school,"Urban (town, city)",Female,Left,2,15,107
6.3,Graduate degree,"Urban (town, city)",Male,Right,3,36,259
3.2,High school,Rural (country side),Female,Right,4,16,354
1,University degree,Suburban,Female,Right,2,18,198
2.3,University degree,Rural (country side),Female,Right,2,21,141
1.2,Less than high school,"Urban (town, city)",Male,Right,3,17,193
4.05,Graduate degree,"Urban (town, city)",Female,Right,3,34,204
1.65,University degree,Suburban,Female,Left,2,22,121
1.85,High school,"Urban (town, city)",Female,Right,4,16,228
1,Graduate degree,Rural (country side),Male,Right,2,25,92
4.4,University degree,Rural (country side),Male,Right,3,18,135
3.45,Graduate degree,Suburban,Male,Left,1,52,238
4,High school,Suburban,Male,Right,2,31,217
2.6,University degree,Suburban,Female,Right,2,26,1916
2.6,High school,"Urban (town, city)",Male,Left,3,21,501
3.05,Graduate degree,"Urban (town, city)",Other,Right,1,45,275
5.55,High school,Rural (country side),Female,Right,1,19,230
6.45,Graduate degree,Rural (country side),Male,Right,6,33,282
1.3,High school,Rural (country side),Female,Right,1,19,252
2.8,Less than high school,Rural (country side),Female,Right,2,17,252
1.8,High school,Rural (country side),Female,Right,2,23,138
1,High school,Suburban,Female,Right,2,18,99
1,Graduate degree,"Urban (town, city)",Male,Right,6,69,165
1.2,Graduate degree,"Urban (town, city)",Male,Right,2,41,149
2.35,High school,Rural (country side),Male,Right,2,26,307
2.15,High school,Suburban,Female,Right,2,42,363
2.85,High school,"Urban (town, city)",Female,Left,3,16,4971
1,High school,"Urban (town, city)",Other,Right,2,17,165
1.25,High school,Suburban,Male,Right,1,19,127
1.2,High school,"Urban (town, city)",Female,Right,3,20,246
1.85,High school,Suburban,Male,Right,2,17,189
2.55,High school,Suburban,Male,Right,0,20,453
3.45,Less than high school,Suburban,Other,Right,3,17,246
1.45,High school,"Urban (town, city)",Male,Right,1,18,143
1.5,Graduate degree,"Urban (town, city)",Male,Right,2,21,234
3.45,Less than high school,Suburban,Female,Right,2,16,353
